300 408
1 2 926
2 3 1180
3 4 5838
4 5 1570
5 6 6155
6 7 465
7 8 6826
8 9 81
9 10 9068
10 11 4721
11 12 9045
12 13 8535
13 14 3906
14 15 1215
15 16 3223
16 17 616
17 18 4095
18 19 865
19 20 252
20 21 8819
21 22 8482
22 23 2052
23 24 6735
24 25 2861
25 26 9387
26 27 412
27 28 5426
28 29 6217
29 30 6801
30 31 8889
31 32 9140
32 33 7787
33 34 9575
34 35 2804
35 36 8490
36 37 8688
37 38 8303
38 39 6479
39 40 2622
40 41 9266
41 42 4851
42 43 1217
43 44 2776
44 45 4809
45 46 5496
46 47 852
47 48 6348
48 49 2886
49 50 1310
50 51 6576
51 52 6750
52 53 7915
53 54 8368
54 55 6659
55 56 466
56 57 1662
57 58 9382
58 59 804
59 60 8990
60 61 180
61 62 5952
62 63 8471
63 64 8611
64 65 4542
65 66 3109
66 67 6777
67 68 5548
68 69 7807
69 70 1681
70 71 4901
71 72 7026
72 73 8812
73 74 8732
74 75 5816
75 76 3884
76 77 6494
77 78 7489
78 79 9853
79 80 2838
80 81 4295
81 82 1488
82 83 7252
83 84 2430
84 85 9480
85 86 2106
86 87 9368
87 88 5951
88 89 7174
89 90 8256
90 91 2367
91 92 2343
92 93 2735
93 94 5687
94 95 8647
95 96 6003
96 97 7941
97 98 9954
98 99 7734
99 100 4606
100 101 1685
101 102 6801
102 103 3116
103 104 1119
104 105 9445
105 106 4966
106 107 2884
107 108 2996
108 109 8254
109 110 7688
110 111 9143
111 112 9809
112 113 5428
113 114 3024
114 115 2783
115 116 20
116 117 5634
117 118 2567
118 119 2685
119 120 2039
120 121 6040
121 122 3659
122 123 2730
123 124 4305
124 125 304
125 126 8271
126 127 9170
127 128 1436
128 129 9834
129 130 7846
130 131 3264
131 132 4790
132 133 18
133 134 948
134 135 4439
135 136 8575
136 137 6665
137 138 9093
138 139 744
139 140 2950
140 141 5200
141 142 6638
142 143 2174
143 144 4414
144 145 3940
145 146 1368
146 147 735
147 148 8884
148 149 5538
149 150 6480
150 151 9107
151 152 4476
152 153 7772
153 154 1250
154 155 6795
155 156 6593
156 157 1252
157 158 1475
158 159 8831
159 160 3357
160 161 8058
161 162 4614
162 163 7468
163 164 8882
164 165 8766
165 166 3674
166 167 328
167 168 367
168 169 6149
169 170 5558
170 171 4981
171 172 7014
172 173 3040
173 174 7343
174 175 4613
175 176 1991
176 177 1451
177 178 6283
178 179 5312
179 180 1239
180 181 9718
181 182 93
182 183 8740
183 184 6574
184 185 8144
185 186 597
186 187 8423
187 188 5627
188 189 9636
189 190 4441
190 191 6500
191 192 4900
192 193 705
193 194 3080
194 195 3512
195 196 1759
196 197 8619
197 198 67
198 199 2763
199 200 9430
200 201 4906
201 202 6674
202 203 1090
203 204 8911
204 205 7651
205 206 4557
206 207 1326
207 208 7899
208 209 2367
209 210 1465
210 211 6877
211 212 6348
212 213 5419
213 214 861
214 215 3581
215 216 5149
216 217 7717
217 218 262
218 219 1106
219 220 1389
220 221 2666
221 222 6695
222 223 4817
223 224 6793
224 225 2646
225 226 6906
226 227 6283
227 228 7239
228 229 2454
229 230 6846
230 231 298
231 232 9825
232 233 3003
233 234 910
234 235 9807
235 236 236
236 237 3475
237 238 9789
238 239 5590
239 240 7347
240 241 7427
241 242 1536
242 243 8874
243 244 3261
244 245 144
245 246 2076
246 247 9038
247 248 4411
248 249 3689
249 250 433
250 251 2976
251 252 4769
252 253 8177
253 254 3476
254 255 9782
255 256 3884
256 257 1542
257 258 959
258 259 5396
259 260 6293
260 261 5497
261 262 3810
262 263 4824
263 264 6119
264 265 9033
265 266 8721
266 267 5729
267 268 7791
268 269 958
269 270 4971
270 271 301
271 272 4554
272 273 8330
273 274 1721
274 275 4750
275 276 38
276 277 1392
277 278 8812
278 279 407
279 280 3932
280 281 2659
281 282 9370
282 283 2225
283 284 4347
284 285 7501
285 286 9873
286 287 3031
287 288 5210
288 289 735
289 290 9946
290 291 4478
291 292 7247
292 293 4032
293 294 5592
294 295 5449
295 296 888
296 297 5130
297 298 2640
298 299 9177
299 300 4422
4 14 1217
6 179 1985
7 299 8133
8 98 9580
10 164 1500
12 185 8143
14 99 6228
16 89 5118
20 111 6531
24 274 5466
25 275 8949
28 264 3640
31 242 6848
32 227 9227
38 261 8190
39 113 7753
44 224 5513
52 219 6433
56 151 4787
57 198 8996
60 227 7506
64 254 4893
65 222 3895
69 151 62
71 272 6904
73 111 4630
77 152 7069
83 90 6236
88 175 7137
92 152 7363
101 235 763
102 280 7669
105 222 2018
107 139 2580
108 256 1936
109 252 8865
111 223 402
112 269 8367
118 202 9753
119 247 7322
124 211 7332
130 132 5304
132 137 9466
133 150 4836
137 279 1473
139 274 4956
143 196 3167
144 269 7243
147 196 9429
148 200 7179
149 280 7436
153 207 3924
157 284 9112
159 247 2688
160 197 1986
161 200 4418
162 200 4617
164 268 4990
167 239 9322
172 291 3463
173 256 3127
177 200 7665
180 205 1469
181 244 7588
184 269 7884
185 283 5002
188 288 2330
195 253 7995
196 231 3597
197 270 8712
198 213 671
199 256 9453
203 278 6923
205 217 3920
207 282 7188
208 281 2907
218 264 1034
220 287 7940
221 277 9779
222 243 7145
225 287 2387
227 290 1938
232 239 8345
233 238 5171
234 245 2493
235 255 5072
237 280 596
240 299 2644
241 275 8902
242 282 8038
245 261 3277
246 298 1561
250 252 4130
251 257 6917
253 265 6167
254 264 3732
255 272 8810
259 269 9014
261 264 6546
263 268 555
265 298 8385
270 280 9109
271 290 8439
272 280 1207
275 294 2749
276 289 8247
288 300 1567
294 297 5691
297 299 103
