400 525
1 2 3393
2 3 1180
3 4 5487
4 5 6430
5 6 6810
6 7 7998
7 8 3404
8 9 9453
9 10 2718
10 11 7485
11 12 1413
12 13 9382
13 14 2517
14 15 8203
15 16 4147
16 17 5848
17 18 3259
18 19 9960
19 20 648
20 21 6451
21 22 7352
22 23 9922
23 24 3646
24 25 2845
25 26 9073
26 27 5107
27 28 6469
28 29 2915
29 30 9704
30 31 4271
31 32 8064
32 33 6112
33 34 4914
34 35 5347
35 36 6380
36 37 7875
37 38 403
38 39 3214
39 40 8380
40 41 1347
41 42 1864
42 43 8895
43 44 3132
44 45 803
45 46 8783
46 47 8159
47 48 7920
48 49 109
49 50 6275
50 51 5216
51 52 400
52 53 5037
53 54 9185
54 55 8342
55 56 2929
56 57 2945
57 58 4182
58 59 8663
59 60 7673
60 61 9331
61 62 8212
62 63 5936
63 64 8526
64 65 6866
65 66 9687
66 67 2287
67 68 339
68 69 1993
69 70 5565
70 71 8584
71 72 9527
72 73 4246
73 74 4469
74 75 1608
75 76 3049
76 77 5867
77 78 4274
78 79 9446
79 80 9826
80 81 5651
81 82 6271
82 83 8322
83 84 4876
84 85 3288
85 86 7594
86 87 7530
87 88 5765
88 89 7580
89 90 7821
90 91 3342
91 92 3057
92 93 3487
93 94 4213
94 95 859
95 96 9526
96 97 1207
97 98 2194
98 99 8831
99 100 9592
100 101 1385
101 102 9588
102 103 4721
103 104 8580
104 105 1199
105 106 8666
106 107 5544
107 108 7835
108 109 8943
109 110 3595
110 111 3092
111 112 1165
112 113 6329
113 114 4166
114 115 8052
115 116 6813
116 117 1033
117 118 6499
118 119 8265
119 120 199
120 121 6543
121 122 514
122 123 6340
123 124 6992
124 125 2120
125 126 9964
126 127 8357
127 128 8612
128 129 5848
129 130 3886
130 131 6082
131 132 1697
132 133 6390
133 134 2520
134 135 7467
135 136 6028
136 137 5471
137 138 5757
138 139 7680
139 140 6002
140 141 4985
141 142 2744
142 143 9245
143 144 8599
144 145 757
145 146 7312
146 147 6630
147 148 7706
148 149 8059
149 150 6818
150 151 6790
151 152 1176
152 153 8252
153 154 5185
154 155 8128
155 156 4613
156 157 8935
157 158 3922
158 159 7510
159 160 5746
160 161 6430
161 162 9467
162 163 7080
163 164 6600
164 165 1728
165 166 5427
166 167 9854
167 168 4954
168 169 918
169 170 4821
170 171 342
171 172 8491
172 173 2112
173 174 4566
174 175 2498
175 176 4532
176 177 8298
177 178 9029
178 179 2996
179 180 5004
180 181 9500
181 182 4052
182 183 7321
183 184 6755
184 185 2316
185 186 2587
186 187 1835
187 188 9124
188 189 1298
189 190 1431
190 191 9741
191 192 8037
192 193 92
193 194 6356
194 195 8936
195 196 1895
196 197 7950
197 198 3129
198 199 9208
199 200 1618
200 201 6168
201 202 5877
202 203 8867
203 204 2711
204 205 5834
205 206 1851
206 207 1935
207 208 6487
208 209 7414
209 210 7206
210 211 781
211 212 5990
212 213 8866
213 214 3512
214 215 5350
215 216 3566
216 217 8952
217 218 2801
218 219 2557
219 220 7568
220 221 9868
221 222 5468
222 223 5508
223 224 7077
224 225 6406
225 226 2680
226 227 3778
227 228 1971
228 229 297
229 230 8425
230 231 1852
231 232 7828
232 233 7202
233 234 531
234 235 3083
235 236 1270
236 237 1467
237 238 320
238 239 816
239 240 7774
240 241 7237
241 242 9283
242 243 2955
243 244 4032
244 245 1895
245 246 3304
246 247 3116
247 248 9566
248 249 4234
249 250 4095
250 251 8070
251 252 5314
252 253 2570
253 254 4830
254 255 4326
255 256 431
256 257 8844
257 258 1646
258 259 4013
259 260 8466
260 261 3851
261 262 7203
262 263 214
263 264 4025
264 265 7114
265 266 4257
266 267 9394
267 268 1944
268 269 5412
269 270 9857
270 271 2692
271 272 7247
272 273 18
273 274 4717
274 275 7814
275 276 5715
276 277 6979
277 278 1388
278 279 5511
279 280 3474
280 281 6733
281 282 3001
282 283 30
283 284 8899
284 285 5296
285 286 4430
286 287 7054
287 288 7420
288 289 5559
289 290 9092
290 291 1929
291 292 9850
292 293 1198
293 294 1851
294 295 3873
295 296 6764
296 297 345
297 298 8726
298 299 6260
299 300 3649
300 301 4360
301 302 426
302 303 7962
303 304 5272
304 305 8733
305 306 4128
306 307 3441
307 308 1617
308 309 3026
309 310 6440
310 311 2924
311 312 5429
312 313 6084
313 314 3845
314 315 9985
315 316 6214
316 317 4785
317 318 7738
318 319 4666
319 320 3866
320 321 5909
321 322 9774
322 323 424
323 324 197
324 325 1386
325 326 7794
326 327 7638
327 328 396
328 329 6691
329 330 5122
330 331 7075
331 332 5562
332 333 4120
333 334 3212
334 335 8997
335 336 6442
336 337 9284
337 338 8767
338 339 7193
339 340 600
340 341 1661
341 342 6431
342 343 4343
343 344 4787
344 345 8754
345 346 3934
346 347 1704
347 348 674
348 349 965
349 350 292
350 351 5005
351 352 603
352 353 6338
353 354 9953
354 355 7887
355 356 8915
356 357 3808
357 358 7716
358 359 7087
359 360 5378
360 361 5902
361 362 249
362 363 90
363 364 697
364 365 1182
365 366 6075
366 367 3657
367 368 2659
368 369 8518
369 370 6105
370 371 6651
371 372 5935
372 373 5679
373 374 3402
374 375 9716
375 376 6178
376 377 7996
377 378 8733
378 379 2360
379 380 6640
380 381 8664
381 382 5667
382 383 3957
383 384 868
384 385 4695
385 386 6908
386 387 9670
387 388 3258
388 389 6510
389 390 476
390 391 963
391 392 3436
392 393 7180
393 394 8619
394 395 6083
395 396 5723
396 397 1674
397 398 2369
398 399 6790
399 400 1041
1 138 193
3 362 3107
6 160 9227
9 68 5951
11 139 730
16 372 1682
19 291 3348
20 173 1509
22 31 9472
29 237 2862
30 67 287
42 253 3904
44 239 7285
45 367 676
47 347 3673
48 338 8770
52 235 9378
53 291 3821
54 188 2910
60 212 6927
67 380 618
68 322 3585
70 137 1001
74 322 4622
75 269 9165
78 226 7041
82 304 7119
85 389 6680
86 178 248
87 166 2391
89 336 5683
90 361 5896
91 249 1592
99 336 6297
101 128 9
102 339 3872
104 124 3126
113 248 613
115 396 7902
119 236 3781
125 349 8594
126 368 541
128 315 7743
130 274 3669
131 147 9425
133 220 3367
138 311 7353
139 320 1374
143 230 6642
145 350 5184
148 380 6817
151 154 4240
152 217 5463
154 186 802
155 380 6032
159 295 8843
166 221 6197
167 300 840
172 250 6044
178 248 9890
179 351 8741
181 205 3761
200 346 9936
204 342 1185
206 275 6776
210 321 81
212 252 3317
217 302 6534
221 394 931
222 379 1623
224 229 633
225 232 4270
226 253 8203
228 377 5312
231 267 9989
232 361 5808
235 354 2500
236 347 1245
240 343 2560
244 262 6387
245 287 2998
247 339 4406
254 354 5175
256 396 5747
257 275 6368
259 304 2654
263 318 6129
264 328 6175
272 338 4543
274 281 6925
275 329 9057
277 316 1330
280 380 171
284 396 1011
287 393 8153
292 373 7197
293 328 1407
294 328 7634
295 342 3501
307 333 5186
310 399 8928
311 338 1966
313 400 4894
316 373 3224
318 320 8949
322 360 601
332 351 9701
343 397 4759
349 362 2561
350 386 8866
352 386 9408
355 378 585
362 374 3020
365 390 537
367 400 3546
374 399 1171
375 384 1460
382 397 2174
383 385 1063
385 389 631
386 398 2285
388 400 5510
393 400 6997
394 398 8543
395 397 5017
396 400 3266
