400 527
1 2 8370
2 3 5896
3 4 7244
4 5 6025
5 6 2727
6 7 4679
7 8 5916
8 9 6311
9 10 6226
10 11 7136
11 12 3989
12 13 6530
13 14 2494
14 15 4370
15 16 3696
16 17 8673
17 18 8508
18 19 1389
19 20 6381
20 21 2745
21 22 2054
22 23 9651
23 24 8029
24 25 8641
25 26 4818
26 27 6089
27 28 7994
28 29 6286
29 30 6300
30 31 4846
31 32 7458
32 33 1917
33 34 9579
34 35 5463
35 36 8127
36 37 5457
37 38 3788
38 39 1983
39 40 6036
40 41 9689
41 42 7049
42 43 9261
43 44 4137
44 45 2859
45 46 7236
46 47 4886
47 48 7430
48 49 8066
49 50 9656
50 51 3414
51 52 7223
52 53 9851
53 54 8719
54 55 790
55 56 6119
56 57 6442
57 58 4064
58 59 8405
59 60 4295
60 61 5783
61 62 6687
62 63 7141
63 64 6453
64 65 9916
65 66 3443
66 67 3691
67 68 4192
68 69 4148
69 70 4360
70 71 1405
71 72 6194
72 73 6970
73 74 8159
74 75 5502
75 76 8752
76 77 5758
77 78 2954
78 79 209
79 80 4168
80 81 1358
81 82 6114
82 83 2746
83 84 8773
84 85 8275
85 86 9727
86 87 3931
87 88 7372
88 89 424
89 90 5015
90 91 9999
91 92 1145
92 93 7184
93 94 7075
94 95 9562
95 96 4438
96 97 3385
97 98 9050
98 99 3852
99 100 4949
100 101 5859
101 102 4331
102 103 3631
103 104 6379
104 105 1902
105 106 706
106 107 6673
107 108 6824
108 109 4340
109 110 3085
110 111 3738
111 112 9013
112 113 218
113 114 1083
114 115 6793
115 116 8769
116 117 5524
117 118 5104
118 119 2835
119 120 4884
120 121 9092
121 122 2582
122 123 5752
123 124 6061
124 125 5252
125 126 3579
126 127 7900
127 128 316
128 129 3014
129 130 588
130 131 7539
131 132 5537
132 133 3935
133 134 1050
134 135 9218
135 136 8150
136 137 5159
137 138 2150
138 139 170
139 140 3431
140 141 2634
141 142 1855
142 143 6444
143 144 1498
144 145 3525
145 146 534
146 147 9647
147 148 9320
148 149 9905
149 150 1305
150 151 8712
151 152 7918
152 153 1795
153 154 4383
154 155 9445
155 156 6761
156 157 7865
157 158 2680
158 159 5994
159 160 5812
160 161 4206
161 162 3458
162 163 8260
163 164 242
164 165 2650
165 166 6536
166 167 7393
167 168 3839
