250 317
1 2 5292
2 3 6507
3 4 7927
4 5 2936
5 6 515
6 7 6361
7 8 4787
8 9 3066
9 10 335
10 11 800
11 12 5332
12 13 1906
13 14 2248
14 15 6939
15 16 6263
16 17 2610
17 18 8298
18 19 7633
19 20 5257
20 21 2162
21 22 3273
22 23 8423
23 24 6533
24 25 2532
25 26 4289
26 27 5606
27 28 5630
28 29 8203
29 30 2264
30 31 526
31 32 382
32 33 8608
33 34 7382
34 35 6854
35 36 6167
36 37 7220
37 38 7715
38 39 8705
39 40 3407
40 41 4833
41 42 1041
42 43 7681
43 44 7190
44 45 392
45 46 3652
46 47 6558
47 48 8350
48 49 4986
49 50 9660
50 51 3482
51 52 8013
52 53 2403
53 54 14
54 55 465
55 56 4233
56 57 8681
57 58 545
58 59 3376
59 60 4798
60 61 7113
61 62 6565
62 63 1098
63 64 1290
64 65 6654
65 66 2669
66 67 2607
67 68 5192
68 69 4650
69 70 8658
70 71 3139
71 72 4474
72 73 5771
73 74 5333
74 75 9852
75 76 4962
76 77 1818
77 78 2915
78 79 7361
79 80 6101
80 81 590
81 82 6554
82 83 5030
83 84 9093
84 85 4453
85 86 5365
86 87 2355
87 88 9398
88 89 2090
89 90 8070
90 91 1405
91 92 4282
92 93 2781
93 94 1525
94 95 101
95 96 8290
96 97 8089
97 98 8791
98 99 2321
99 100 5438
100 101 5725
101 102 1521
102 103 7572
103 104 9214
104 105 7712
105 106 1906
106 107 1167
107 108 8337
108 109 6261
109 110 144
110 111 202
111 112 3961
112 113 973
113 114 2115
114 115 3200
115 116 4685
116 117 3221
117 118 520
118 119 7989
119 120 4786
120 121 7426
121 122 4800
122 123 3216
123 124 9340
124 125 9263
125 126 6673
126 127 5657
127 128 8667
128 129 6132
129 130 7398
130 131 5651
131 132 878
132 133 6175
133 134 1503
134 135 904
135 136 6701
136 137 9912
137 138 2875
138 139 6436
139 140 4842
140 141 1908
141 142 5553
142 143 9620
143 144 1193
144 145 2382
145 146 9500
146 147 2398
147 148 3181
148 149 2287
149 150 7081
150 151 8261
151 152 1193
152 153 2913
153 154 7898
154 155 5561
155 156 1778
156 157 4300
157 158 9278
158 159 9648
159 160 4667
160 161 1584
161 162 1616
162 163 7443
163 164 6018
164 165 3442
165 166 9990
166 167 227
167 168 9897
168 169 9047
169 170 8203
170 171 6240
171 172 4288
172 173 4480
173 174 9016
174 175 9443
175 176 4661
176 177 9017
177 178 2754
178 179 8945
179 180 6429
180 181 338
181 182 7191
182 183 9933
183 184 279
184 185 3452
185 186 3686
186 187 7441
187 188 6377
188 189 7697
189 190 4008
190 191 3940
191 192 5446
192 193 7675
193 194 5888
194 195 9355
195 196 9321
196 197 2704
197 198 7804
198 199 2415
199 200 8557
200 201 99
201 202 2843
202 203 6925
203 204 4695
204 205 5149
205 206 1328
206 207 8629
207 208 381
208 209 4401
209 210 6277
210 211 3807
211 212 897
212 213 5256
213 214 3814
214 215 7051
215 216 4336
216 217 7895
217 218 3531
218 219 3424
219 220 6798
220 221 8502
221 222 4626
222 223 878
223 224 8418
224 225 7708
225 226 2477
226 227 736
227 228 2893
228 229 2245
229 230 6054
230 231 4852
231 232 4667
232 233 2249
233 234 1171
234 235 9089
235 236 5836
236 237 9564
237 238 593
238 239 634
239 240 9447
240 241 7856
241 242 6651
242 243 581
243 244 7647
244 245 1438
245 246 635
246 247 1286
247 248 9777
248 249 14
249 250 6766
2 247 7946
9 227 9
12 246 4579
16 203 4843
18 167 769
19 114 8668
25 141 6899
31 193 668
39 97 2060
40 106 6275
42 74 644
44 229 9016
45 91 7085
47 161 126
50 218 3317
54 241 1041
70 216 5668
71 222 5292
72 92 9189
73 128 8964
75 233 739
83 210 8869
84 186 6853
87 244 2888
88 158 6151
95 203 9722
97 249 9938
98 207 7845
102 142 7450
105 193 5889
107 235 5939
112 211 5625
113 199 1303
114 201 9196
115 136 8341
119 239 52
121 214 238
129 168 4217
138 249 1038
139 225 4617
143 189 3457
151 216 7188
153 190 4425
155 162 2151
157 241 6548
158 193 3186
164 181 5656
167 192 3042
171 188 1833
182 222 398
185 238 8691
190 192 615
191 196 8295
201 241 1292
202 204 3869
208 250 6830
209 227 8733
211 243 8283
212 222 820
213 225 1469
218 229 9897
238 241 2433
239 242 504
240 246 1730
242 247 5896
244 249 8576
245 250 7765
247 250 5209
