40 50
1 2 5329
2 3 6083
3 4 4768
4 5 6552
5 6 9410
6 7 9162
7 8 4650
8 9 3211
9 10 9448
10 11 2157
11 12 6593
12 13 5795
13 14 1074
14 15 7533
15 16 9147
16 17 8181
17 18 6449
18 19 8800
19 20 1938
20 21 5502
21 22 7746
22 23 5059
23 24 8593
24 25 1798
25 26 7748
26 27 714
27 28 8213
28 29 5332
29 30 8056
30 31 415
31 32 4645
32 33 457
33 34 2029
34 35 3247
35 36 8529
36 37 8863
37 38 2350
38 39 8944
39 40 3831
4 36 8546
7 19 1155
8 40 9101
9 15 9577
22 32 9110
26 36 1414
27 39 3654
30 37 5526
32 37 933
37 40 1228
38 40 2020
