60 72
1 2 4685
2 3 299
3 4 9128
4 5 836
5 6 7066
6 7 5910
7 8 1413
8 9 700
9 10 5342
10 11 3574
11 12 3828
12 13 9124
13 14 4055
14 15 1286
15 16 3300
16 17 4711
17 18 4374
18 19 1319
19 20 8647
20 21 8719
21 22 6777
22 23 3189
23 24 4767
24 25 3261
25 26 587
26 27 694
27 28 7328
28 29 1997
29 30 9373
30 31 4117
31 32 1371
32 33 245
33 34 6047
34 35 7706
35 36 5040
36 37 3694
37 38 3687
38 39 8021
39 40 3191
40 41 1947
41 42 5349
42 43 8713
43 44 9356
44 45 4807
45 46 9621
46 47 1080
47 48 388
48 49 697
49 50 8191
50 51 1297
51 52 3908
52 53 1254
53 54 2497
54 55 4378
55 56 4573
56 57 6093
57 58 7811
58 59 9817
59 60 8182
7 16 6869
12 17 9423
14 44 9717
18 54 2022
24 39 6522
28 49 886
30 44 8468
38 52 892
43 52 2154
44 59 6892
48 59 4615
54 56 3132
57 60 1614
