200 274
1 2 3196
2 3 4260
3 4 3356
4 5 3732
5 6 6074
6 7 4829
7 8 4444
8 9 273
9 10 1308
10 11 9482
11 12 829
12 13 6259
13 14 8103
14 15 7616
15 16 3137
16 17 4630
17 18 4626
18 19 8992
19 20 2003
20 21 9481
21 22 5533
22 23 4672
23 24 9393
24 25 4046
25 26 6525
26 27 2263
27 28 5280
28 29 5645
29 30 543
30 31 1198
31 32 7824
32 33 1538
33 34 1731
34 35 5036
35 36 3997
36 37 5143
37 38 4304
38 39 1131
39 40 9435
40 41 1079
41 42 4731
42 43 6017
43 44 5662
44 45 3886
45 46 7860
46 47 4729
47 48 5043
48 49 5586
49 50 7200
50 51 2036
51 52 3034
52 53 7774
53 54 5158
54 55 3314
55 56 2721
56 57 3087
57 58 7782
58 59 7432
59 60 6297
60 61 3204
61 62 8926
62 63 4478
63 64 6020
64 65 3958
65 66 1524
66 67 6979
67 68 349
68 69 5563
69 70 7938
70 71 847
71 72 9496
72 73 1924
73 74 1071
74 75 7681
75 76 3378
76 77 9656
77 78 870
78 79 753
79 80 1633
80 81 3508
81 82 302
82 83 7754
83 84 1357
84 85 2244
85 86 1309
86 87 6656
87 88 7581
88 89 4685
89 90 2307
90 91 6629
91 92 9477
92 93 5206
93 94 6805
94 95 1637
95 96 4381
96 97 9223
97 98 2968
98 99 5757
99 100 559
100 101 8698
101 102 7168
102 103 6199
103 104 2608
104 105 8454
105 106 1814
106 107 650
107 108 131
108 109 6173
109 110 2683
110 111 9823
111 112 3196
112 113 7981
113 114 598
114 115 7566
115 116 8611
116 117 1356
117 118 9065
118 119 8053
119 120 6361
120 121 3677
121 122 7059
122 123 6976
123 124 4916
124 125 3122
125 126 7452
126 127 2088
127 128 6529
128 129 6623
129 130 1575
130 131 5290
131 132 2103
132 133 7126
133 134 8135
134 135 4656
135 136 8187
136 137 9441
137 138 2213
138 139 6594
139 140 8242
140 141 4734
141 142 1597
142 143 7726
143 144 5548
144 145 7218
145 146 2881
146 147 7128
147 148 8955
148 149 2404
149 150 8764
150 151 7284
151 152 8811
152 153 2180
153 154 7103
154 155 2331
155 156 7556
156 157 8063
157 158 969
158 159 352
159 160 9902
160 161 893
161 162 1778
162 163 8178
163 164 6845
164 165 7460
165 166 5239
166 167 2938
167 168 4410
168 169 6081
169 170 6716
170 171 6413
171 172 8696
172 173 6462
173 174 7728
174 175 7141
175 176 5068
176 177 8667
177 178 9650
178 179 108
179 180 2018
180 181 4345
181 182 6337
182 183 9486
183 184 2959
184 185 2123
185 186 6304
186 187 7984
187 188 8973
188 189 9157
189 190 8406
190 191 6221
191 192 3720
192 193 7986
193 194 1182
194 195 2696
195 196 2132
196 197 6841
197 198 949
198 199 9508
199 200 7676
4 30 5983
7 184 5947
14 184 4985
16 71 4266
17 24 9995
18 40 1819
21 89 516
22 34 9648
23 147 3566
24 81 7725
25 197 7427
28 185 8969
29 125 6007
30 103 2366
31 50 9462
32 52 8950
33 44 9965
34 39 8313
36 49 4458
38 107 1276
42 117 8163
43 99 2296
47 132 5078
51 107 4745
52 196 637
55 122 4266
56 188 7848
57 111 7804
58 118 2314
59 190 1893
63 116 1205
74 177 7623
76 171 3239
78 129 6700
80 107 1377
84 134 3580
90 197 2150
94 98 7692
103 145 7424
105 177 5401
108 170 3113
114 118 648
116 134 9791
117 183 1443
118 197 5525
122 192 5293
128 138 3087
129 197 8470
131 139 3046
132 189 2910
138 166 8695
139 187 6831
140 187 5775
144 147 2366
147 192 9222
150 166 3296
151 193 4992
152 172 4036
154 167 3221
155 175 1722
159 190 9021
160 163 7720
162 196 3454
168 179 3075
170 184 2299
172 189 8853
174 186 1207
175 194 1977
186 190 3971
187 199 6113
188 191 5595
189 198 5217
190 192 9584
191 200 5844
194 199 1304
