350 474
1 2 8917
2 3 4210
3 4 8574
4 5 6946
5 6 175
6 7 259
7 8 5737
8 9 7769
9 10 2957
10 11 4842
11 12 1528
12 13 6388
13 14 2981
14 15 1792
15 16 5677
16 17 8077
17 18 7611
18 19 4319
19 20 1007
20 21 5716
21 22 2064
22 23 5188
23 24 1516
24 25 2074
25 26 692
26 27 135
27 28 472
28 29 4900
29 30 9713
30 31 7269
31 32 4558
32 33 2706
33 34 5918
34 35 5678
35 36 9742
36 37 9103
37 38 260
38 39 3367
39 40 9840
40 41 4846
41 42 2306
42 43 9914
43 44 148
44 45 8986
45 46 5667
46 47 3323
47 48 8039
48 49 5841
49 50 7470
50 51 4796
51 52 7427
52 53 2469
53 54 2676
54 55 9842
55 56 8107
56 57 8709
57 58 2554
58 59 1186
59 60 6570
60 61 9383
61 62 3507
62 63 4423
63 64 9852
64 65 9974
65 66 5173
66 67 944
67 68 6462
68 69 14
69 70 2945
70 71 9441
71 72 4150
72 73 4153
73 74 5571
74 75 7232
75 76 6086
76 77 6419
77 78 8167
78 79 1044
79 80 5069
80 81 3939
81 82 278
82 83 2042
83 84 3141
84 85 4196
85 86 3485
86 87 4466
87 88 6243
88 89 9794
89 90 6612
90 91 3006
91 92 7113
92 93 3745
93 94 9475
94 95 8997
95 96 8011
96 97 8673
97 98 7805
98 99 7091
99 100 1188
100 101 7715
101 102 5147
102 103 3230
103 104 9186
104 105 7932
105 106 3652
106 107 5268
107 108 9287
108 109 1361
109 110 9280
110 111 2961
111 112 7650
112 113 9073
113 114 9907
114 115 7660
115 116 3126
116 117 2596
117 118 704
118 119 6568
119 120 1462
120 121 2618
121 122 1275
122 123 6276
123 124 8627
124 125 5220
125 126 6473
126 127 3181
127 128 7271
128 129 6378
129 130 4901
130 131 6947
131 132 6574
132 133 400
133 134 5274
134 135 80
135 136 3211
136 137 6752
137 138 8056
138 139 6320
139 140 4252
140 141 6284
141 142 8425
142 143 8153
143 144 8512
144 145 5818
145 146 3223
146 147 9912
147 148 321
148 149 8768
149 150 216
150 151 5303
151 152 4932
152 153 1576
153 154 8434
154 155 5790
155 156 4012
156 157 6801
157 158 4158
158 159 4734
159 160 7200
160 161 828
161 162 422
162 163 6136
163 164 6779
164 165 6021
165 166 8281
166 167 5311
167 168 4172
168 169 4999
169 170 412
170 171 8515
171 172 7559
172 173 6557
173 174 2186
174 175 854
175 176 4110
176 177 2158
177 178 5854
178 179 8053
179 180 23
180 181 6263
181 182 5127
182 183 7667
183 184 3734
184 185 8028
185 186 762
186 187 3130
187 188 4083
188 189 5027
189 190 2427
190 191 6755
191 192 1885
192 193 2454
193 194 3680
194 195 7652
195 196 4745
196 197 1547
197 198 3356
198 199 1340
199 200 8993
200 201 8774
201 202 4406
202 203 1838
203 204 2457
204 205 2876
205 206 4775
206 207 3104
207 208 512
208 209 1656
209 210 2645
210 211 4643
211 212 9797
212 213 3025
213 214 2255
214 215 6447
215 216 4375
216 217 359
217 218 292
218 219 1808
219 220 4267
220 221 5470
221 222 1714
222 223 9787
223 224 2963
224 225 4228
225 226 343
226 227 9258
227 228 8254
228 229 2323
229 230 2664
230 231 9096
231 232 907
232 233 2608
233 234 1407
234 235 4358
235 236 5332
236 237 3906
237 238 7955
238 239 6970
239 240 1592
240 241 3469
241 242 7132
242 243 7020
243 244 8225
244 245 9714
245 246 2388
246 247 4415
247 248 6748
248 249 7012
249 250 9330
250 251 8680
251 252 8850
252 253 4223
253 254 5346
254 255 7483
255 256 6391
256 257 4139
257 258 8162
258 259 160
259 260 133
260 261 4240
261 262 5038
262 263 9143
263 264 3476
264 265 7564
265 266 2850
266 267 7116
267 268 6178
268 269 5198
269 270 1847
270 271 4216
271 272 2247
272 273 5297
273 274 283
274 275 6575
275 276 8968
276 277 6455
277 278 7289
278 279 4073
279 280 9707
280 281 5642
281 282 8801
282 283 2614
283 284 7167
284 285 6077
285 286 5815
286 287 4734
287 288 9433
288 289 9645
289 290 732
290 291 6002
291 292 1296
292 293 4333
293 294 3936
294 295 7932
295 296 8966
296 297 4554
297 298 1391
298 299 9194
299 300 2498
300 301 4522
301 302 1507
302 303 7831
303 304 129
304 305 6831
305 306 6756
306 307 6132
307 308 3016
308 309 8917
309 310 5012
310 311 2038
311 312 8944
312 313 5057
313 314 1492
314 315 5744
315 316 9127
316 317 832
317 318 3919
318 319 5725
319 320 3065
320 321 2727
321 322 47
322 323 8032
323 324 6494
324 325 6856
325 326 6311
326 327 3571
327 328 400
328 329 9392
329 330 4864
330 331 6718
331 332 9395
332 333 9985
333 334 3380
334 335 4728
335 336 6403
336 337 2670
337 338 3282
338 339 7600
339 340 7303
340 341 909
341 342 40
342 343 2470
343 344 2704
344 345 2817
345 346 5969
346 347 2866
347 348 2815
348 349 1824
349 350 1095
11 174 1957
12 147 5464
13 195 1369
15 181 6654
17 148 9039
19 76 6930
21 305 3513
28 278 7397
33 134 486
35 182 7493
37 132 8965
41 72 2641
42 221 6463
43 66 4301
44 276 9530
45 50 5792
46 186 8390
47 299 1189
52 72 8783
55 206 7296
59 108 2798
60 106 8105
63 185 7424
64 262 6757
66 135 3762
67 152 7302
68 137 49
73 311 7045
75 300 9702
76 214 6840
78 97 5974
79 275 4005
80 266 1354
82 200 5910
86 333 3646
91 257 5436
93 311 4778
98 143 4864
102 350 620
104 148 9437
107 180 3770
113 226 8323
117 268 5232
120 311 2377
122 248 6599
123 238 5541
125 235 4876
128 150 5057
130 289 8324
134 225 7628
140 164 5137
141 178 8656
144 162 5013
145 180 8595
146 241 1196
149 350 4120
157 175 2047
160 183 3815
164 343 5338
165 259 2652
169 302 473
171 319 725
173 236 1971
179 201 203
180 306 922
181 207 1310
184 261 1884
185 269 6728
189 248 8630
190 221 8259
193 320 7625
195 338 531
198 339 1686
201 291 6232
202 338 6671
204 322 7669
206 217 2447
213 321 8538
216 349 973
217 302 1413
219 265 4695
223 272 5610
224 310 4898
227 262 623
228 344 479
233 327 5592
234 278 402
235 322 612
236 347 641
237 343 8721
240 286 4809
243 344 6765
251 281 8378
252 332 7502
254 276 8123
258 308 9093
259 291 7585
268 294 2545
273 302 800
275 293 1260
276 283 7859
278 326 3860
279 299 7894
289 305 2364
290 342 3774
292 310 1544
293 344 3793
295 333 5776
296 338 9552
297 318 7592
310 345 1235
311 320 9636
312 326 5052
313 348 6667
315 317 2272
324 347 7669
328 336 1292
330 333 9523
331 349 1965
335 340 414
336 347 7768
337 339 2450
341 345 8211
344 350 4023
347 350 2737
