250 326
1 2 8864
2 3 7273
3 4 7888
4 5 5119
5 6 73
6 7 6182
7 8 2718
8 9 3049
9 10 4100
10 11 2128
11 12 771
12 13 7304
13 14 4262
14 15 6754
15 16 7745
16 17 7446
17 18 1635
18 19 8951
19 20 2961
20 21 7765
21 22 5735
22 23 4115
23 24 3493
24 25 209
25 26 2418
26 27 2108
27 28 8870
28 29 7632
29 30 8902
30 31 8947
31 32 1330
32 33 212
33 34 7580
34 35 5612
35 36 7272
36 37 3984
37 38 8469
38 39 9590
39 40 458
40 41 9487
41 42 1998
42 43 6659
43 44 9111
44 45 3750
45 46 3320
46 47 4044
47 48 7966
48 49 5006
49 50 3334
50 51 1645
51 52 2360
52 53 9864
53 54 8730
54 55 7500
55 56 4970
56 57 2153
57 58 7786
58 59 2249
59 60 5158
60 61 6551
61 62 4537
62 63 7274
63 64 7542
64 65 6407
65 66 2287
66 67 5272
67 68 9985
68 69 2595
69 70 4101
70 71 8810
71 72 5493
72 73 63
73 74 4383
74 75 8115
75 76 7818
76 77 8975
77 78 7900
78 79 1253
79 80 3229
80 81 5568
81 82 6558
82 83 4586
83 84 2286
84 85 3812
85 86 2315
86 87 3214
87 88 4608
88 89 2431
89 90 5379
90 91 2615
91 92 5000
92 93 2639
93 94 7004
94 95 8692
95 96 3377
96 97 4664
97 98 4454
98 99 4313
99 100 9706
100 101 1780
101 102 2804
102 103 2708
103 104 5404
104 105 6829
105 106 7184
106 107 2409
107 108 5126
108 109 561
109 110 8439
110 111 2125
111 112 7149
112 113 3797
113 114 2245
114 115 6970
115 116 9099
116 117 2969
117 118 8825
118 119 6700
119 120 3872
120 121 3676
121 122 5154
122 123 6981
123 124 891
124 125 1212
125 126 1838
126 127 6908
127 128 808
128 129 2361
129 130 7669
130 131 1719
131 132 4202
132 133 344
133 134 6393
134 135 6970
135 136 4761
136 137 6906
137 138 5741
138 139 6946
139 140 4810
140 141 4200
141 142 1458
142 143 2297
143 144 6213
144 145 6306
145 146 649
146 147 2691
147 148 3488
148 149 6173
149 150 3902
150 151 4810
151 152 9744
152 153 2635
153 154 6489
154 155 6490
155 156 3857
156 157 8516
157 158 6862
158 159 9562
159 160 2517
160 161 5335
161 162 3447
162 163 4343
163 164 8023
164 165 8400
165 166 8562
166 167 295
167 168 5595
168 169 6592
169 170 9812
170 171 1262
171 172 7930
172 173 8087
173 174 1280
174 175 6608
175 176 2340
176 177 9164
177 178 8001
178 179 3070
179 180 2792
180 181 4256
181 182 451
182 183 6574
183 184 9993
184 185 1520
185 186 844
186 187 2694
187 188 5423
188 189 6143
189 190 2927
190 191 2532
191 192 9339
192 193 1082
193 194 6260
194 195 7697
195 196 6217
196 197 9090
197 198 1539
198 199 5066
199 200 7385
200 201 5203
201 202 911
202 203 959
203 204 2955
204 205 3550
205 206 6314
206 207 7338
207 208 7953
208 209 7136
209 210 4957
210 211 8217
211 212 9964
212 213 4331
213 214 3302
214 215 9212
215 216 4940
216 217 7410
217 218 6704
218 219 9284
219 220 8146
220 221 2115
221 222 8929
222 223 7740
223 224 7552
224 225 6434
225 226 2250
226 227 4750
227 228 1411
228 229 9323
229 230 8455
230 231 3733
231 232 9383
232 233 6116
233 234 4359
234 235 8949
235 236 5719
236 237 2238
237 238 8501
238 239 1847
239 240 8335
240 241 5863
241 242 9212
242 243 7409
243 244 9764
244 245 8916
245 246 3594
246 247 5141
247 248 3008
248 249 6716
249 250 4347
2 115 7285
3 230 4677
4 90 4792
7 81 8400
12 173 6637
19 51 4936
22 220 8181
30 239 5154
44 148 7872
53 171 3820
56 243 380
62 202 3488
64 93 3132
65 87 6163
68 114 5658
71 121 3910
73 160 1334
80 95 883
82 189 5170
84 221 8673
87 218 2887
98 226 7270
104 176 1345
107 178 5103
113 191 9471
114 234 7339
115 207 7450
117 221 6750
121 127 8234
123 134 9252
128 185 8970
131 213 1369
133 206 9049
135 211 676
139 240 767
140 176 2976
141 227 5877
146 148 8915
149 217 300
150 188 861
153 167 5325
155 185 5226
158 228 1916
161 167 5275
162 181 8603
164 201 2894
165 196 6743
169 175 1831
172 232 7316
176 250 4975
178 205 4865
181 230 5315
182 249 9955
187 249 4059
190 206 3915
192 237 968
198 228 4726
199 234 691
201 231 9212
203 218 7865
205 227 628
206 217 4046
207 242 4308
222 247 7343
223 227 6578
224 233 6664
225 241 4516
226 234 5486
227 250 60
228 234 7892
230 250 5734
231 237 9430
237 243 4852
242 248 3403
243 245 6070
245 250 2797
248 250 2630
