60 82
1 2 1282
2 3 1595
3 4 3448
4 5 5073
5 6 6259
6 7 916
7 8 8583
8 9 1846
9 10 4631
10 11 3880
11 12 6714
12 13 8995
13 14 505
14 15 7012
15 16 1031
16 17 3697
17 18 4637
18 19 1217
19 20 3195
20 21 1725
21 22 9858
22 23 8900
23 24 6056
24 25 1220
25 26 7967
26 27 8724
27 28 3274
28 29 9055
29 30 880
30 31 8961
31 32 4120
32 33 9191
33 34 5851
34 35 8946
35 36 2742
36 37 2210
37 38 7511
38 39 9850
39 40 8942
40 41 7965
41 42 3242
42 43 4679
43 44 6568
44 45 2921
45 46 8281
46 47 7931
47 48 7461
48 49 7798
49 50 8668
50 51 7485
51 52 5099
52 53 1265
53 54 2959
54 55 7826
55 56 8840
56 57 7242
57 58 4253
58 59 9304
59 60 3047
3 9 9485
8 51 9377
9 38 3602
12 41 2399
13 42 7834
20 22 7745
21 59 1255
22 59 4378
28 44 2644
29 53 4931
30 33 9932
32 47 4663
36 55 5727
37 44 967
39 42 3660
42 49 1121
45 47 2010
46 52 6564
47 59 4573
53 56 3086
56 59 1596
57 59 3841
58 60 2982
