100 125
1 2 9362
2 3 7524
3 4 3858
4 5 4195
5 6 6982
6 7 3589
7 8 4308
8 9 9841
9 10 3574
10 11 6729
11 12 652
12 13 8738
13 14 9184
14 15 9967
15 16 3909
16 17 9807
17 18 6536
18 19 3494
19 20 120
20 21 1622
21 22 3629
22 23 6239
23 24 77
24 25 1258
25 26 7807
26 27 4102
27 28 6969
28 29 4650
29 30 1585
30 31 3436
31 32 1874
32 33 3562
33 34 2220
34 35 4759
35 36 8308
36 37 326
37 38 9126
38 39 7180
39 40 2923
40 41 6860
41 42 8830
42 43 2851
43 44 7062
44 45 4467
45 46 3043
46 47 1483
47 48 2199
48 49 2356
49 50 6908
50 51 7619
51 52 1481
52 53 6376
53 54 8439
54 55 2597
55 56 6765
56 57 3170
57 58 5857
58 59 3295
59 60 2096
60 61 8982
61 62 6281
62 63 3005
63 64 8276
64 65 394
65 66 5130
66 67 8041
67 68 8406
68 69 3094
69 70 6062
70 71 5461
71 72 9999
72 73 1163
73 74 6634
74 75 9482
75 76 7099
76 77 8670
77 78 1799
78 79 9771
79 80 1148
80 81 8455
81 82 2033
82 83 3450
83 84 7867
84 85 1348
85 86 6345
86 87 2975
87 88 7221
88 89 2384
89 90 2229
90 91 5184
91 92 7579
92 93 2917
93 94 4100
94 95 4373
95 96 7709
96 97 484
97 98 8544
98 99 8989
99 100 6506
7 90 8311
22 64 2552
34 39 8228
35 83 7144
40 49 6427
42 53 4763
45 93 3445
46 84 2859
51 53 3861
54 93 6106
57 77 9667
59 92 3390
65 70 4965
67 74 7618
68 81 262
69 73 5326
72 95 9462
74 97 3473
77 81 9163
79 97 4913
84 93 7022
85 98 7670
86 100 8459
88 94 2741
94 100 7270
98 100 9406
